outcome,icd,icd_vr,subgroup
uti,59000,9,
uti,59001,9,
uti,59010,9,
uti,59011,9,
uti,5902,9,
uti,5903,9,
uti,59080,9,
uti,59081,9,
uti,5990,9,
uti,5950,9,
uti,5951,9,N
uti,5952,9,N
uti,5954,9,N
uti,59581,9,N
uti,59589,9,N
uti,5959,9,N
uti,5970,9,N
uti,59780,9,
uti,59781,9,
uti,59789,9,N
uti,99664,9,
pneumonia,0382,9,
pneumonia,4800,9,
pneumonia,4801,9,
pneumonia,4802,9,
pneumonia,4803,9,
pneumonia,4804,9,
pneumonia,4808,9,
pneumonia,4809,9,
pneumonia,481,9,
pneumonia,4820,9,
pneumonia,4821,9,
pneumonia,4822,9,
pneumonia,4823,9,
pneumonia,48230,9,
pneumonia,48231,9,
pneumonia,48232,9,
pneumonia,48239,9,
pneumonia,48240,9,
pneumonia,48241,9,
pneumonia,48242,9,
pneumonia,48249,9,
pneumonia,48281,9,
pneumonia,48282,9,
pneumonia,48283,9,
pneumonia,48284,9,
pneumonia,48289,9,
pneumonia,4829,9,
pneumonia,4830,9,
pneumonia,4831,9,
pneumonia,4838,9,
pneumonia,4841,9,
pneumonia,4843,9,
pneumonia,4845,9,
pneumonia,4846,9,
pneumonia,4847,9,
pneumonia,4848,9,
pneumonia,485,9,
pneumonia,486,9,
pneumonia,4870,9,
pneumonia,48801,9,
pneumonia,48811,9,
pneumonia,48881,9,
uti,N3000,10,
uti,N3001,10,
uti,N3010,10,N
uti,N3011,10,N
uti,N3020,10,N
uti,N3021,10,N
uti,N3080,10,N
uti,N3081,10,N
uti,N3090,10,
uti,N3091,10,
uti,N340,10,N
uti,N341,10,
uti,N342,10,
uti,N343,10,
uti,N110,10,
uti,N10,10,
uti,N151,10,
uti,N2885,10,
uti,N136,10,
uti,N16,10,
uti,N390,10,
uti,T83511A,10,
pneumonia,A403,10,
pneumonia,B7781,10,
pneumonia,J120,10,
pneumonia,J121,10,
pneumonia,J122,10,
pneumonia,J123,10,
pneumonia,J1281,10,
pneumonia,J1289,10,
pneumonia,J129,10,
pneumonia,J13,10,
pneumonia,J14,10,
pneumonia,J150,10,
pneumonia,J151,10,
pneumonia,J1520,10,
pneumonia,J15211,10,
pneumonia,J15212,10,
pneumonia,J1529,10,
pneumonia,J153,10,
pneumonia,J154,10,
pneumonia,J155,10,
pneumonia,J156,10,
pneumonia,J157,10,
pneumonia,J158,10,
pneumonia,J159,10,
pneumonia,J160,10,
pneumonia,J09X1,10,
pneumonia,J1000,10,
pneumonia,J1001,10,
pneumonia,J1008,10,
pneumonia,J1100,10,
pneumonia,J1108 ,10,
pneumonia,J168,10,
pneumonia,J17,10,
pneumonia,J180,10,
pneumonia,J181,10,
pneumonia,J188,10,
pneumonia,J189,10,
